Any;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Antiguitat;Nombre_motos
2007;7;Horta-Guinardó;37;el Carmel;3 anys;208
2007;7;Horta-Guinardó;38;la Teixonera;3 anys;72
2007;7;Horta-Guinardó;39;Sant Genís dels Agudells;3 anys;44
2007;7;Horta-Guinardó;40;Montbau;3 anys;22
2007;7;Horta-Guinardó;41;la Vall d'Hebron;3 anys;34
2007;7;Horta-Guinardó;42;la Clota;3 anys;0
2007;7;Horta-Guinardó;43;Horta;3 anys;179
2007;8;Nou Barris;44;Vilapicina i la Torre Llobeta;3 anys;120
2007;8;Nou Barris;45;Porta;3 anys;103
2007;8;Nou Barris;46;el Turó de la Peira;3 anys;54
2007;8;Nou Barris;47;Can Peguera;3 anys;4
2007;8;Nou Barris;48;la Guineueta;3 anys;69
2007;8;Nou Barris;49;Canyelles;3 anys;22
2007;8;Nou Barris;50;les Roquetes;3 anys;63
2007;8;Nou Barris;51;Verdun;3 anys;34
2007;8;Nou Barris;52;la Prosperitat;3 anys;92
2007;8;Nou Barris;53;la Trinitat Nova;3 anys;22
2007;8;Nou Barris;54;Torre Baró;3 anys;11
2007;8;Nou Barris;55;Ciutat Meridiana;3 anys;17
2007;8;Nou Barris;56;Vallbona;3 anys;3
2007;9;Sant Andreu;57;la Trinitat Vella;3 anys;24
2007;9;Sant Andreu;58;Baró de Viver;3 anys;4
2007;9;Sant Andreu;59;el Bon Pastor;3 anys;61
2007;9;Sant Andreu;60;Sant Andreu;3 anys;247
2007;9;Sant Andreu;61;la Sagrera;3 anys;125
2007;9;Sant Andreu;62;el Congrés i els Indians;3 anys;64
2007;9;Sant Andreu;63;Navas;3 anys;95
2007;10;Sant Martí;64;el Camp de l'Arpa del Clot;3 anys;220
2007;10;Sant Martí;65;el Clot;3 anys;123
2007;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;3 anys;92
2007;10;Sant Martí;67;la Vila Olímpica del Poblenou;3 anys;64
2007;10;Sant Martí;68;el Poblenou;3 anys;115
2007;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;3 anys;67
2007;10;Sant Martí;70;el Besòs i el Maresme;3 anys;51
2007;10;Sant Martí;71;Provençals del Poblenou;3 anys;75
2007;10;Sant Martí;72;Sant Martí de Provençals;3 anys;113
2007;10;Sant Martí;73;la Verneda i la Pau;3 anys;95
2007;99;No consta;99;No consta;3 anys;32
2007;1;Ciutat Vella;1;el Raval;4 anys;78
2007;1;Ciutat Vella;2;el Barri Gòtic;4 anys;269
2007;1;Ciutat Vella;3;la Barceloneta;4 anys;52
2007;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;4 anys;64
2007;2;Eixample;5;el Fort Pienc;4 anys;143
2007;2;Eixample;6;la Sagrada Família;4 anys;225
2007;2;Eixample;7;la Dreta de l'Eixample;4 anys;326
2007;2;Eixample;8;l'Antiga Esquerra de l'Eixample;4 anys;251
2007;2;Eixample;9;la Nova Esquerra de l'Eixample;4 anys;292
2007;2;Eixample;10;Sant Antoni;4 anys;132
2007;3;Sants-Montjuïc;11;el Poble Sec;4 anys;125
2007;3;Sants-Montjuïc;12;la Marina del Prat Vermell;4 anys;9
2007;3;Sants-Montjuïc;13;la Marina de Port;4 anys;66
2007;3;Sants-Montjuïc;14;la Font de la Guatlla;4 anys;34
2007;3;Sants-Montjuïc;15;Hostafrancs;4 anys;53
2007;3;Sants-Montjuïc;16;la Bordeta;4 anys;59
2007;3;Sants-Montjuïc;17;Sants - Badal;4 anys;53
2007;3;Sants-Montjuïc;18;Sants;4 anys;171
2007;4;Les Corts;19;les Corts;4 anys;246
